CRD,name,owner type,title,date aquired,ownership code,control,public reporting,owner crd
1137,"PRINCIPAL FINANCIAL SERVICES, INC.",DE,OWNER,10/2001,E,Y,N,
1137,"STRABLE-SOETHOUT, DEANNA DAWNETTE",I,DIRECTOR,04/2015,NA,Y,N,6467090
1137,"MURRAY, MICHAEL FRANCIS",I,PRESIDENT/CHIEF EXECUTIVE OFFICER/CHAIR,07/2018,NA,Y,N,2074275
1137,"FRIEDRICH, AMY CHRISTINE",I,DIRECTOR,05/2019,NA,Y,N,7097797
1137,"RANTS, DOUGLAS JOHN",I,CHIEF INFORMATION SECURITY OFFICER,12/2019,NA,Y,N,7148529
1137,"SPADAFORA, CRAIG ALAN",I,SENIOR VICE PRESIDENT / HEAD OF ADVISORY AND PLATFORM,12/2019,NA,Y,N,3184320
1137,"CLAIRE, CHAD THOMAS",I,CHIEF INFORMATION OFFICER,12/2019,NA,Y,N,7219218
1137,"RIGLER, DAVID ANDREW",I,CHIEF FINANCIAL OFFICER,07/2020,NA,Y,N,5724812
1137,"BEITZEL, CARLA KAY",I,VICE PRESIDENT OF DISTRIBUTION,07/2020,NA,Y,N,1337908
1137,"VANWINKLE, DANIEL SIMON",I,PSI AML OFFICER,03/2021,NA,Y,N,4715191
1137,"BELTRAN, JESUS MANUEL",I,CHIEF SUPERVISION OFFICER,04/2021,NA,Y,N,4642364
1137,"MCCULLUM, KENNETH ALLEN",I,DIRECTOR,05/2021,NA,Y,N,4695257
1137,"COOPER, BROCK JEFFREY",I,CHIEF COMPLIANCE OFFICER,09/2023,NA,Y,N,4082970
1175,"SAVILLE, WILSON GORDON II",I,"PRESIDENT,SECRETARY,CHIEF COMPLIANCE OFFICER, & CHIEF FINANCIAL OFFICER",07/2011,E,Y,N,1406756
1248,"ROSEN, ROBERT STEPHEN",I,"PRESIDENT, DIRECTOR, CEO",06/1969,D,Y,N,404271
1248,"SCHLESINGER, ISAAC",I,"VP, SECRETARY, DIRECTOR, CFO, COO, CCO",03/1969,C,Y,N,413636
1248,"MURPHY, THOMAS JAMES",I,VP,11/1989,NA,N,N,839873
1249,"BLACK, GERALD LEROY",I,PRESIDENT AND DIRECTOR,11/2006,C,Y,N,811414
1249,"LYONS, DORIS BLACK",I,TREASURER,02/2008,B,N,N,
1249,"BLACK, JAMES ISSAC III",I,OWNER,02/2008,B,N,N,
1249,"CHARLES, REBECCA B",I,OWNER,02/2008,B,N,N,
1249,"STEADMAN, NATASHA LYNN",I,CHIEF COMPLIANCE OFFICER,01/2011,NA,Y,N,5161387
1249,"DEAN, JEFFREY MILLER",I,DIRECTOR,06/2011,NA,Y,N,
1249,"BLACK, KATHARINE ANN",I,OWNER,08/2014,A,N,N,6400616
1249,"BLACK, STEPHANIE MARIE",I,OWNER,08/2014,A,N,N,6395469
1249,"BLACK, JENNIFER LEIGH",I,OWNER,08/2014,A,N,N,6400578
1252,"WBC HOLDINGS, L.P.",DE,HOLDING COMPANY,11/2008,E,Y,N,
1252,"GLEDHILL, BRENT WALKER",I,"PRESIDENT, CEO",03/2009,NA,Y,N,2921069
1252,"DEVORE, RYAN JACOB",I,EXECUTIVE COMMITTEE,11/2017,NA,Y,N,3049671
1252,"BRAMING, STEPHANIE GRIESER",I,EXECUTIVE COMMITTEE,11/2017,NA,Y,N,4852455
1252,"RASAVONGXAY, WILLSON B",I,CHIEF COMPLIANCE OFFICER,12/2019,NA,Y,N,6593731
1252,"CITARDI, CISSIE",I,"EXECUTIVE COMMITTEE, GENERAL COUNSEL",01/2021,NA,Y,N,6642613
1252,"ZIMMER, MATTHEW MONTGOMERY",I,EXECUTIVE COMMITTEE,01/2022,NA,Y,N,4157826
1252,"DALRYMPLE, PETER PLENK",I,EXECUTIVE COMMITTEE,01/2022,NA,Y,N,5393343
1252,"SATTERFIELD, BETH A",I,EXECUTIVE COMMITTEE,01/2023,NA,Y,N,6011858
1252,"SHARMA, ANURAG DR.",I,EXECUTIVE COMMITTEE,01/2023,NA,Y,N,4821676
1252,"TRIMBERGER, MICHAEL WILLIAM",I,CFO,07/2023,NA,Y,N,5329834
1254,"WINTERBOURNE, JEANI THERESA",I,CHIEF OPERATING OFFICER,08/2010,NA,Y,N,1075564
1254,"STEWARD PARTNERS HOLDINGS, LLC",DE,OWNER,04/2021,E,Y,N,
1254,"MARTINEZ, ROBERTO ANTONIO",I,AML OFFICER,07/2022,NA,N,N,2991605
1254,"SAPORTA, HY JAMIE",I,CEO,10/2022,NA,Y,N,2672279
1254,"FABER, JOSEPH S",I,CHIEF FINANCIAL OFFICER,10/2022,NA,Y,N,4834049
1254,"RUHLIN, PETER ERIC",I,CHIEF LEGAL OFFICER,10/2022,NA,Y,N,5521744
1254,"GULDNER, ROBERT JOHN",I,CHIEF COMPLIANCE OFFICER,07/2023,NA,Y,N,2283980
1329,"SMITH, RAYMOND HILL JR",I,PRESIDENT & CHIEF EXECUTIVE OFFICER,07/1992,E,Y,N,731506
1329,"SMITH, RAYMOND HILL JR",I,CHIEF COMPLIANCE OFFICER,10/2004,E,Y,N,731506
1329,"BARFIELD, THOMAS EARL JR",I,SENIOR VICE PRESIDENT,09/2013,NA,N,N,4518997
1329,"SMITH, RAYMOND HILL JR",I,FINANCIAL AND OPERATIONS PRINCIPAL AND MUNICIPAL SECURITIES PRINCIPAL,01/2011,E,Y,N,731506
1329,"EDWARDS, HOLLI COX",I,CHIEF FINANCIAL OFFICER,12/2012,NA,N,N,5967474
1329,"SMITH, RAYMOND HILL JR",I,GENERAL SECURITIES PRINCIPAL,10/1986,E,Y,N,731506
1329,"EDWARDS, HOLLI COX",I,FINANCIAL AND OPERATIONS PRINCIPAL,12/2012,NA,N,N,5967474
1329,"GAITHER, THOMAS DEWITT JR.",I,GENERAL SECURITIES PRINCIPAL,10/2017,NA,N,N,6007486
1331,"IZZI, DAVID ANTHONY",I,PRESIDENT; SECRETARY; TREASURER; CHIEF COMPLIANCE OFFICER,01/1997,B,Y,N,2027961
1331,"MARGINSON, JOHN ARTHUR",I,VICE PRESIDENT,01/1997,B,Y,N,860727
1331,"MURPHY, LOUIS GEORGE JR",I,VICE PRESIDENT,01/2001,B,Y,N,1162141
1331,"LISLE, SCOTT SAWYER",I,VICE PRESIDENT,01/2008,B,Y,N,2220388
1331,"MCGINN, JOSEPH HUGH JR",I,VICE PRESIDENT,01/2011,B,Y,N,2354164
1331,"TRACY, CLIFFORD BURRELL JR",I,VICE PRESIDENT,01/2022,B,Y,N,1213468
1378,"MAGOMEDOV, RAMZAN",I,PRESIDENT / CHIEF COMPLIANCE OFFICER,11/2008,E,Y,N,3075727
1459,"BOSWAY, MICHAEL EDWARD",I,PRESIDENT/CEO,01/1998,NA,Y,N,1058290
1459,"DIGAETANO, RAYMOND ANTHONY",I,EVP/PRIVATE CLIENT SERVICES,01/2013,NA,Y,N,1319252
1459,"ARMSTRONG, ANDY JOHN",I,SRVP/CCO,04/2016,NA,Y,N,4448534
1459,"CITY SECURITIES, LLC",DE,HOLDING COMPANY,01/2017,E,Y,N,
1464,"CRAVILLION, BETH ANN",I,DIRECTOR OF SUPPORT SERVICES,12/2004,NA,N,N,4770231
1464,"KUIPERS, MICHAEL DAVID",I,"DIRECTOR, PRESIDENT & CEO",07/2015,NA,Y,N,2436388
